seed,model,overall_rmse_k,pre_switch_rmse_k,post_switch_rmse_k,maximum_time_rmse_k
7,offline_pinn,18.898632049560547,13.589213371276855,22.834972381591797,32.42808151245117
11,offline_pinn,20.491954803466797,12.907931327819824,25.71310043334961,33.26341247558594
19,offline_pinn,17.554479598999023,10.851140022277832,22.124757766723633,30.796146392822266
23,offline_pinn,19.292970657348633,12.40061092376709,24.088592529296875,31.421401977539062
31,offline_pinn,21.271263122558594,17.054561614990234,24.624774932861328,33.27803039550781
7,adaptive_pinn,2.2944433087683898,3.253607765464379,0.4431491285824612,8.46500905111784
11,adaptive_pinn,1.9445338562649075,2.7485919841849733,0.43284940381601933,7.0133731017346115
19,adaptive_pinn,2.0572403784303397,2.9075188334251365,0.460250533533493,7.484269091197926
23,adaptive_pinn,1.9208363452987827,2.7113323884946325,0.4497425964478096,6.967594480010506
31,adaptive_pinn,2.825116300832518,4.015759544673731,0.47339061841401936,11.105666808348385
7,streamed_pino,0.23800326883792877,0.22696161270141602,0.2480626255273819,0.9860775470733643
11,streamed_pino,0.22245125472545624,0.23574501276016235,0.2090059071779251,0.8446640372276306
19,streamed_pino,0.23402465879917145,0.22873660922050476,0.23895208537578583,0.8893442749977112
23,streamed_pino,0.23601418733596802,0.22666817903518677,0.24458330869674683,0.96470046043396
31,streamed_pino,0.23302529752254486,0.22398224472999573,0.24132287502288818,0.9349640011787415
